# Time-correlated data for fix SS
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_pxy*v_pxy v_pxz*v_pxz v_pyz*v_pyz
0 100
1 0 1 2.67584e+09 2.83777e+08 1.09523e+07
2 10 0 0.0 0.0 0.0
3 20 0 0.0 0.0 0.0
4 30 0 0.0 0.0 0.0
5 40 0 0.0 0.0 0.0
6 50 0 0.0 0.0 0.0
7 60 0 0.0 0.0 0.0
8 70 0 0.0 0.0 0.0
9 80 0 0.0 0.0 0.0
10 90 0 0.0 0.0 0.0
11 100 0 0.0 0.0 0.0
12 110 0 0.0 0.0 0.0
13 120 0 0.0 0.0 0.0
14 130 0 0.0 0.0 0.0
15 140 0 0.0 0.0 0.0
16 150 0 0.0 0.0 0.0
17 160 0 0.0 0.0 0.0
18 170 0 0.0 0.0 0.0
19 180 0 0.0 0.0 0.0
20 190 0 0.0 0.0 0.0
21 200 0 0.0 0.0 0.0
22 210 0 0.0 0.0 0.0
23 220 0 0.0 0.0 0.0
24 230 0 0.0 0.0 0.0
25 240 0 0.0 0.0 0.0
26 250 0 0.0 0.0 0.0
27 260 0 0.0 0.0 0.0
28 270 0 0.0 0.0 0.0
29 280 0 0.0 0.0 0.0
30 290 0 0.0 0.0 0.0
31 300 0 0.0 0.0 0.0
32 310 0 0.0 0.0 0.0
33 320 0 0.0 0.0 0.0
34 330 0 0.0 0.0 0.0
35 340 0 0.0 0.0 0.0
36 350 0 0.0 0.0 0.0
37 360 0 0.0 0.0 0.0
38 370 0 0.0 0.0 0.0
39 380 0 0.0 0.0 0.0
40 390 0 0.0 0.0 0.0
41 400 0 0.0 0.0 0.0
42 410 0 0.0 0.0 0.0
43 420 0 0.0 0.0 0.0
44 430 0 0.0 0.0 0.0
45 440 0 0.0 0.0 0.0
46 450 0 0.0 0.0 0.0
47 460 0 0.0 0.0 0.0
48 470 0 0.0 0.0 0.0
49 480 0 0.0 0.0 0.0
50 490 0 0.0 0.0 0.0
51 500 0 0.0 0.0 0.0
52 510 0 0.0 0.0 0.0
53 520 0 0.0 0.0 0.0
54 530 0 0.0 0.0 0.0
55 540 0 0.0 0.0 0.0
56 550 0 0.0 0.0 0.0
57 560 0 0.0 0.0 0.0
58 570 0 0.0 0.0 0.0
59 580 0 0.0 0.0 0.0
60 590 0 0.0 0.0 0.0
61 600 0 0.0 0.0 0.0
62 610 0 0.0 0.0 0.0
63 620 0 0.0 0.0 0.0
64 630 0 0.0 0.0 0.0
65 640 0 0.0 0.0 0.0
66 650 0 0.0 0.0 0.0
67 660 0 0.0 0.0 0.0
68 670 0 0.0 0.0 0.0
69 680 0 0.0 0.0 0.0
70 690 0 0.0 0.0 0.0
71 700 0 0.0 0.0 0.0
72 710 0 0.0 0.0 0.0
73 720 0 0.0 0.0 0.0
74 730 0 0.0 0.0 0.0
75 740 0 0.0 0.0 0.0
76 750 0 0.0 0.0 0.0
77 760 0 0.0 0.0 0.0
78 770 0 0.0 0.0 0.0
79 780 0 0.0 0.0 0.0
80 790 0 0.0 0.0 0.0
81 800 0 0.0 0.0 0.0
82 810 0 0.0 0.0 0.0
83 820 0 0.0 0.0 0.0
84 830 0 0.0 0.0 0.0
85 840 0 0.0 0.0 0.0
86 850 0 0.0 0.0 0.0
87 860 0 0.0 0.0 0.0
88 870 0 0.0 0.0 0.0
89 880 0 0.0 0.0 0.0
90 890 0 0.0 0.0 0.0
91 900 0 0.0 0.0 0.0
92 910 0 0.0 0.0 0.0
93 920 0 0.0 0.0 0.0
94 930 0 0.0 0.0 0.0
95 940 0 0.0 0.0 0.0
96 950 0 0.0 0.0 0.0
97 960 0 0.0 0.0 0.0
98 970 0 0.0 0.0 0.0
99 980 0 0.0 0.0 0.0
100 990 0 0.0 0.0 0.0
1000 100
1 0 101 2.69234e+07 3.75326e+06 647337
2 10 100 516403 428661 129059
3 20 99 274635 48745.8 -68806.5
4 30 98 -238509 323409 121041
5 40 97 62318.6 -73408.6 -45027.4
6 50 96 234204 -123204 -97351.4
7 60 95 328934 469579 156997
8 70 94 760755 395572 181689
9 80 93 12426.6 -14853.6 -42543.2
10 90 92 -260468 -83291.8 19779.5
11 100 91 458151 21815.5 19159.9
12 110 90 604957 -216947 -85998.4
13 120 89 293830 -235848 -76770.4
14 130 88 478663 475741 -84657.6
15 140 87 642017 402388 -28206.8
16 150 86 858588 -343507 2376.34
17 160 85 107843 -128319 17309.1
18 170 84 -313603 -352029 57896.1
19 180 83 214546 -921209 -8352.62
20 190 82 110518 -305925 -110905
21 200 81 -193917 55270.3 -30383.5
22 210 80 562394 -626755 30665.9
23 220 79 1.09467e+06 -411831 323.7
24 230 78 -1262.82 -19484.6 -9221.47
25 240 77 -297336 -548773 53145.4
26 250 76 232669 -558828 -28473.1
27 260 75 -542991 206566 -29797.2
28 270 74 -39292 91703.1 -33466.5
29 280 73 1.00189e+06 -592682 -41263.6
30 290 72 -88821.3 104620 -76665
31 300 71 596595 116609 -85099.2
32 310 70 -264139 -415729 -2196.08
33 320 69 -1.15467e+06 39941 -52397.7
34 330 68 -473133 191899 -33035.6
35 340 67 1193.9 -359073 -52444.9
36 350 66 628.523 -401422 -54431.6
37 360 65 554393 175255 -72396.7
38 370 64 1.57503e+06 25716.1 -82631.4
39 380 63 973673 -188735 -56626.3
40 390 62 150576 481111 -65103.3
41 400 61 528835 289398 -5548.48
42 410 60 -542417 -360131 -24782.9
43 420 59 -360828 -6559.43 55045.9
44 430 58 348790 260526 -17157.4
45 440 57 346408 193403 -107374
46 450 56 -233011 359082 16860.9
47 460 55 -34106.1 652929 65588
48 470 54 514200 34134 2033.7
49 480 53 -305315 -484613 42466.1
50 490 52 -622305 268446 56215.4
51 500 51 -403896 336391 -26613.5
52 510 50 714218 173994 1492.96
53 520 49 185243 1.00581e+06 91501.6
54 530 48 308867 703062 90815.7
55 540 47 440509 -315135 12464.9
56 550 46 -61553.5 -137274 107160
57 560 45 748915 205580 49038.7
58 570 44 459164 337018 90880.7
59 580 43 867373 196149 142022
60 590 42 526827 637445 58054.7
61 600 41 917874 -61495.3 105326
62 610 40 -609635 -589849 -1094.35
63 620 39 145685 -433729 -79133.2
64 630 38 -519636 -201971 49979.6
65 640 37 -144556 355849 68782.8
66 650 36 1.24299e+06 742918 -141562
67 660 35 1.17484e+06 158378 97461
68 670 34 -663580 -349765 239324
69 680 33 -706619 -610526 7668.55
70 690 32 780795 -1.09406e+06 -46654.7
71 700 31 1.47567e+06 -698854 98955
72 710 30 513831 -208375 -119913
73 720 29 1.38586e+06 -169507 -252243
74 730 28 2.431e+06 -368123 216196
75 740 27 -1.12068e+06 -594618 202040
76 750 26 1.34124e+06 -215081 5595.93
77 760 25 -1.14051e+06 -433314 157021
78 770 24 -1.98148e+06 -208572 107853
79 780 23 -743126 644041 -131710
80 790 22 -1.99044e+06 426457 -151653
81 800 21 818612 -665852 32614.3
82 810 20 973493 -139790 13391.4
83 820 19 -1.47999e+06 -664049 -53721.4
84 830 18 -1.3246e+06 -1.26056e+06 103748
85 840 17 -1.8563e+06 -761365 209249
86 850 16 -329377 -492924 -196237
87 860 15 20920.7 -1.09397e+06 -468934
88 870 14 -1.43613e+06 9101.48 -296748
89 880 13 -905670 -648219 -202290
90 890 12 1.58728e+06 231029 -543472
91 900 11 -2.25077e+06 978706 -200417
92 910 10 2.35092e+06 -409929 44093.9
93 920 9 58974.1 555893 -380440
94 930 8 2.32813e+06 -1.29305e+06 -615910
95 940 7 -2.88395e+06 -1.44587e+06 -585312
96 950 6 -1.08012e+07 -549669 -393104
97 960 5 -2.97376e+06 1.96084e+06 -679444
98 970 4 2.62149e+06 2.67209e+06 -463154
99 980 3 9.06228e+06 3.73875e+06 -220331
100 990 2 1.14873e+07 5.17409e+06 -104689
2000 100
1 0 201 1.38577e+07 2.28092e+06 732668
2 10 200 328092 296282 124356
3 20 199 102710 -11661.8 -137784
