# Tau / ps;  Linear Fit to MSD / pm^2
2.1000;  47737.4538
2.1105;  47870.3809
2.1211;  48003.3081
2.1316;  48136.2353
2.1421;  48269.1625
2.1526;  48402.0897
2.1632;  48535.0169
2.1737;  48667.9440
2.1842;  48800.8712
2.1947;  48933.7984
2.2053;  49066.7256
2.2158;  49199.6528
2.2263;  49332.5799
2.2368;  49465.5071
2.2474;  49598.4343
2.2579;  49731.3615
2.2684;  49864.2887
2.2789;  49997.2158
2.2895;  50130.1430
2.3000;  50263.0702
2.3105;  50395.9974
2.3211;  50528.9246
2.3316;  50661.8518
2.3421;  50794.7789
2.3526;  50927.7061
2.3632;  51060.6333
2.3737;  51193.5605
2.3842;  51326.4877
2.3947;  51459.4148
2.4053;  51592.3420
2.4158;  51725.2692
2.4263;  51858.1964
2.4368;  51991.1236
2.4474;  52124.0507
2.4579;  52256.9779
2.4684;  52389.9051
2.4789;  52522.8323
2.4895;  52655.7595
2.5000;  52788.6867
2.5105;  52921.6138
2.5211;  53054.5410
2.5316;  53187.4682
2.5421;  53320.3954
2.5526;  53453.3226
2.5632;  53586.2497
2.5737;  53719.1769
2.5842;  53852.1041
2.5947;  53985.0313
2.6053;  54117.9585
2.6158;  54250.8856
2.6263;  54383.8128
2.6368;  54516.7400
2.6474;  54649.6672
2.6579;  54782.5944
2.6684;  54915.5216
2.6789;  55048.4487
2.6895;  55181.3759
2.7000;  55314.3031
2.7105;  55447.2303
2.7211;  55580.1575
2.7316;  55713.0846
2.7421;  55846.0118
2.7526;  55978.9390
2.7632;  56111.8662
2.7737;  56244.7934
2.7842;  56377.7206
2.7947;  56510.6477
2.8053;  56643.5749
2.8158;  56776.5021
2.8263;  56909.4293
2.8368;  57042.3565
2.8474;  57175.2836
2.8579;  57308.2108
2.8684;  57441.1380
2.8789;  57574.0652
2.8895;  57706.9924
2.9000;  57839.9195
2.9105;  57972.8467
2.9211;  58105.7739
2.9316;  58238.7011
2.9421;  58371.6283
2.9526;  58504.5555
2.9632;  58637.4826
2.9737;  58770.4098
2.9842;  58903.3370
2.9947;  59036.2642
3.0053;  59169.1914
3.0158;  59302.1185
3.0263;  59435.0457
3.0368;  59567.9729
3.0474;  59700.9001
3.0579;  59833.8273
3.0684;  59966.7544
3.0789;  60099.6816
3.0895;  60232.6088
3.1000;  60365.5360
3.1105;  60498.4632
3.1211;  60631.3904
3.1316;  60764.3175
3.1421;  60897.2447
3.1526;  61030.1719
3.1632;  61163.0991
3.1737;  61296.0263
3.1842;  61428.9534
3.1947;  61561.8806
3.2053;  61694.8078
3.2158;  61827.7350
3.2263;  61960.6622
3.2368;  62093.5893
3.2474;  62226.5165
3.2579;  62359.4437
3.2684;  62492.3709
3.2789;  62625.2981
3.2895;  62758.2253
3.3000;  62891.1524
3.3105;  63024.0796
3.3211;  63157.0068
3.3316;  63289.9340
3.3421;  63422.8612
3.3526;  63555.7883
3.3632;  63688.7155
3.3737;  63821.6427
3.3842;  63954.5699
3.3947;  64087.4971
3.4053;  64220.4242
3.4158;  64353.3514
3.4263;  64486.2786
3.4368;  64619.2058
3.4474;  64752.1330
3.4579;  64885.0602
3.4684;  65017.9873
3.4789;  65150.9145
3.4895;  65283.8417
3.5000;  65416.7689
3.5105;  65549.6961
3.5211;  65682.6232
3.5316;  65815.5504
3.5421;  65948.4776
3.5526;  66081.4048
3.5632;  66214.3320
3.5737;  66347.2591
3.5842;  66480.1863
3.5947;  66613.1135
3.6053;  66746.0407
3.6158;  66878.9679
3.6263;  67011.8951
3.6368;  67144.8222
3.6474;  67277.7494
3.6579;  67410.6766
3.6684;  67543.6038
3.6789;  67676.5310
3.6895;  67809.4581
3.7000;  67942.3853
3.7105;  68075.3125
3.7211;  68208.2397
3.7316;  68341.1669
3.7421;  68474.0940
3.7526;  68607.0212
3.7632;  68739.9484
3.7737;  68872.8756
3.7842;  69005.8028
3.7947;  69138.7300
3.8053;  69271.6571
3.8158;  69404.5843
3.8263;  69537.5115
3.8368;  69670.4387
3.8474;  69803.3659
3.8579;  69936.2930
3.8684;  70069.2202
3.8789;  70202.1474
3.8895;  70335.0746
3.9000;  70468.0018
3.9105;  70600.9290
3.9211;  70733.8561
3.9316;  70866.7833
3.9421;  70999.7105
3.9526;  71132.6377
3.9632;  71265.5649
3.9737;  71398.4920
3.9842;  71531.4192
3.9947;  71664.3464
4.0053;  71797.2736
4.0158;  71930.2008
4.0263;  72063.1279
4.0368;  72196.0551
4.0474;  72328.9823
4.0579;  72461.9095
4.0684;  72594.8367
4.0789;  72727.7639
4.0895;  72860.6910
4.1000;  72993.6182
4.1105;  73126.5454
4.1211;  73259.4726
4.1316;  73392.3998
4.1421;  73525.3269
4.1526;  73658.2541
4.1632;  73791.1813
4.1737;  73924.1085
4.1842;  74057.0357
4.1947;  74189.9628
