# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 29949.848317
0.100000; 2994.984832; 27838.557527
0.200000; 5778.840584; 28129.713472
0.300000; 8591.811932; 24862.155279
0.400000; 11078.027459; 22430.115824
0.500000; 13321.039042; 21519.195027
0.600000; 15472.958545; 20190.788789
0.700000; 17492.037423; 20570.746898
0.800000; 19549.112113; 20810.940169
0.900000; 21630.206130; 20996.761105
1.000000; 23729.882241; 20383.122078
1.100000; 25768.194448; 19750.715024
1.200000; 27743.265951; 19930.552081
1.300000; 29736.321159; 19164.559849
1.400000; 31652.777144; 18517.251490
1.500000; 33504.502293; 17703.977652
1.600000; 35274.900058; 16191.309111
1.700000; 36894.030969; 16190.837488
1.800000; 38513.114718; 15783.554492
1.900000; 40091.470167; 15509.527998
2.000000; 41642.422967; 14461.516807
2.100000; 43088.574648; 14368.568441
2.200000; 44525.431492; 13770.545875
2.300000; 45902.486079; 13765.333498
2.400000; 47279.019429; 13081.291652
2.500000; 48587.148594; 13444.313887
2.600000; 49931.579983; 13447.945966
2.700000; 51276.374580; 12312.266794
2.800000; 52507.601259; 11510.286470
2.900000; 53658.629906; 12611.416296
3.000000; 54919.771536; 13369.147367
3.100000; 56256.686272; 12306.858689
3.200000; 57487.372141; 12970.943559
3.300000; 58784.466497; 13611.293091
3.400000; 60145.595806; 13175.072208
3.500000; 61463.103027; 13011.619868
3.600000; 62764.265014; 12500.318759
3.700000; 64014.296890; 12485.326636
3.800000; 65262.829553; 11723.328572
3.900000; 66435.162410; 10545.690068
4.000000; 67489.731417; 10821.542713
4.100000; 68571.885689; 0.000000
