# Tau / ps;  Linear Fit to MSD / pm^2
2.1000;  43416.7662
2.1105;  43551.4028
2.1211;  43686.0393
2.1316;  43820.6759
2.1421;  43955.3125
2.1526;  44089.9490
2.1632;  44224.5856
2.1737;  44359.2221
2.1842;  44493.8587
2.1947;  44628.4952
2.2053;  44763.1318
2.2158;  44897.7683
2.2263;  45032.4049
2.2368;  45167.0414
2.2474;  45301.6780
2.2579;  45436.3145
2.2684;  45570.9511
2.2789;  45705.5876
2.2895;  45840.2242
2.3000;  45974.8607
2.3105;  46109.4973
2.3211;  46244.1338
2.3316;  46378.7704
2.3421;  46513.4069
2.3526;  46648.0435
2.3632;  46782.6800
2.3737;  46917.3166
2.3842;  47051.9531
2.3947;  47186.5897
2.4053;  47321.2262
2.4158;  47455.8628
2.4263;  47590.4994
2.4368;  47725.1359
2.4474;  47859.7725
2.4579;  47994.4090
2.4684;  48129.0456
2.4789;  48263.6821
2.4895;  48398.3187
2.5000;  48532.9552
2.5105;  48667.5918
2.5211;  48802.2283
2.5316;  48936.8649
2.5421;  49071.5014
2.5526;  49206.1380
2.5632;  49340.7745
2.5737;  49475.4111
2.5842;  49610.0476
2.5947;  49744.6842
2.6053;  49879.3207
2.6158;  50013.9573
2.6263;  50148.5938
2.6368;  50283.2304
2.6474;  50417.8669
2.6579;  50552.5035
2.6684;  50687.1400
2.6789;  50821.7766
2.6895;  50956.4132
2.7000;  51091.0497
2.7105;  51225.6863
2.7211;  51360.3228
2.7316;  51494.9594
2.7421;  51629.5959
2.7526;  51764.2325
2.7632;  51898.8690
2.7737;  52033.5056
2.7842;  52168.1421
2.7947;  52302.7787
2.8053;  52437.4152
2.8158;  52572.0518
2.8263;  52706.6883
2.8368;  52841.3249
2.8474;  52975.9614
2.8579;  53110.5980
2.8684;  53245.2345
2.8789;  53379.8711
2.8895;  53514.5076
2.9000;  53649.1442
2.9105;  53783.7807
2.9211;  53918.4173
2.9316;  54053.0538
2.9421;  54187.6904
2.9526;  54322.3270
2.9632;  54456.9635
2.9737;  54591.6001
2.9842;  54726.2366
2.9947;  54860.8732
3.0053;  54995.5097
3.0158;  55130.1463
3.0263;  55264.7828
3.0368;  55399.4194
3.0474;  55534.0559
3.0579;  55668.6925
3.0684;  55803.3290
3.0789;  55937.9656
3.0895;  56072.6021
3.1000;  56207.2387
3.1105;  56341.8752
3.1211;  56476.5118
3.1316;  56611.1483
3.1421;  56745.7849
3.1526;  56880.4214
3.1632;  57015.0580
3.1737;  57149.6945
3.1842;  57284.3311
3.1947;  57418.9676
3.2053;  57553.6042
3.2158;  57688.2407
3.2263;  57822.8773
3.2368;  57957.5139
3.2474;  58092.1504
3.2579;  58226.7870
3.2684;  58361.4235
3.2789;  58496.0601
3.2895;  58630.6966
3.3000;  58765.3332
3.3105;  58899.9697
3.3211;  59034.6063
3.3316;  59169.2428
3.3421;  59303.8794
3.3526;  59438.5159
3.3632;  59573.1525
3.3737;  59707.7890
3.3842;  59842.4256
3.3947;  59977.0621
3.4053;  60111.6987
3.4158;  60246.3352
3.4263;  60380.9718
3.4368;  60515.6083
3.4474;  60650.2449
3.4579;  60784.8814
3.4684;  60919.5180
3.4789;  61054.1545
3.4895;  61188.7911
3.5000;  61323.4277
3.5105;  61458.0642
3.5211;  61592.7008
3.5316;  61727.3373
3.5421;  61861.9739
3.5526;  61996.6104
3.5632;  62131.2470
3.5737;  62265.8835
3.5842;  62400.5201
3.5947;  62535.1566
3.6053;  62669.7932
3.6158;  62804.4297
3.6263;  62939.0663
3.6368;  63073.7028
3.6474;  63208.3394
3.6579;  63342.9759
3.6684;  63477.6125
3.6789;  63612.2490
3.6895;  63746.8856
3.7000;  63881.5221
3.7105;  64016.1587
3.7211;  64150.7952
3.7316;  64285.4318
3.7421;  64420.0683
3.7526;  64554.7049
3.7632;  64689.3414
3.7737;  64823.9780
3.7842;  64958.6146
3.7947;  65093.2511
3.8053;  65227.8877
3.8158;  65362.5242
3.8263;  65497.1608
3.8368;  65631.7973
3.8474;  65766.4339
3.8579;  65901.0704
3.8684;  66035.7070
3.8789;  66170.3435
3.8895;  66304.9801
3.9000;  66439.6166
3.9105;  66574.2532
3.9211;  66708.8897
3.9316;  66843.5263
3.9421;  66978.1628
3.9526;  67112.7994
3.9632;  67247.4359
3.9737;  67382.0725
3.9842;  67516.7090
3.9947;  67651.3456
4.0053;  67785.9821
4.0158;  67920.6187
4.0263;  68055.2552
4.0368;  68189.8918
4.0474;  68324.5284
4.0579;  68459.1649
4.0684;  68593.8015
4.0789;  68728.4380
4.0895;  68863.0746
4.1000;  68997.7111
4.1105;  69132.3477
4.1211;  69266.9842
4.1316;  69401.6208
4.1421;  69536.2573
4.1526;  69670.8939
4.1632;  69805.5304
4.1737;  69940.1670
4.1842;  70074.8035
4.1947;  70209.4401
