# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 42491.302499
0.100000; 4249.130250; 40271.797681
0.200000; 8276.310018; 40930.439360
0.300000; 12369.353954; 38617.239231
0.400000; 16231.077877; 36711.062707
0.500000; 19902.184148; 36697.449791
0.600000; 23571.929127; 35414.488969
0.700000; 27113.378024; 34083.499152
0.800000; 30521.727939; 33441.132502
0.900000; 33865.841189; 32530.042002
1.000000; 37118.845389; 32115.969320
1.100000; 40330.442321; 31643.251294
1.200000; 43494.767451; 30754.477723
1.300000; 46570.215223; 29312.637474
1.400000; 49501.478970; 27252.122338
1.500000; 52226.691204; 25682.911457
1.600000; 54794.982350; 24757.845036
1.700000; 57270.766854; 24601.661527
1.800000; 59730.933006; 24813.465050
1.900000; 62212.279511; 25345.303648
2.000000; 64746.809876; 25223.080794
2.100000; 67269.117955; 25759.594551
2.200000; 69845.077411; 25825.899624
2.300000; 72427.667373; 25255.347186
2.400000; 74953.202092; 25225.964519
2.500000; 77475.798543; 24794.378833
2.600000; 79955.236427; 24267.849672
2.700000; 82382.021394; 24393.625887
2.800000; 84821.383983; 25060.060258
2.900000; 87327.390008; 26008.881784
3.000000; 89928.278187; 25359.942786
3.100000; 92464.272465; 24741.421530
3.200000; 94938.414618; 24547.124522
3.300000; 97393.127071; 24464.063900
3.400000; 99839.533461; 24104.569330
3.500000; 102249.990394; 23986.761240
3.600000; 104648.666518; 22453.688156
3.700000; 106894.035333; 22252.930376
3.800000; 109119.328371; 22288.130957
3.900000; 111348.141466; 21604.012526
4.000000; 113508.542719; 21853.749055
4.100000; 115693.917625; 0.000000
