# Tau / ps;  Linear Fit to MSD / pm^2
2.1000;  67736.5518
2.1105;  67993.2012
2.1211;  68249.8506
2.1316;  68506.5000
2.1421;  68763.1494
2.1526;  69019.7988
2.1632;  69276.4482
2.1737;  69533.0976
2.1842;  69789.7470
2.1947;  70046.3964
2.2053;  70303.0459
2.2158;  70559.6953
2.2263;  70816.3447
2.2368;  71072.9941
2.2474;  71329.6435
2.2579;  71586.2929
2.2684;  71842.9423
2.2789;  72099.5917
2.2895;  72356.2411
2.3000;  72612.8905
2.3105;  72869.5399
2.3211;  73126.1893
2.3316;  73382.8387
2.3421;  73639.4881
2.3526;  73896.1375
2.3632;  74152.7869
2.3737;  74409.4363
2.3842;  74666.0857
2.3947;  74922.7351
2.4053;  75179.3845
2.4158;  75436.0339
2.4263;  75692.6833
2.4368;  75949.3327
2.4474;  76205.9821
2.4579;  76462.6315
2.4684;  76719.2809
2.4789;  76975.9303
2.4895;  77232.5797
2.5000;  77489.2291
2.5105;  77745.8785
2.5211;  78002.5279
2.5316;  78259.1773
2.5421;  78515.8267
2.5526;  78772.4761
2.5632;  79029.1255
2.5737;  79285.7749
2.5842;  79542.4243
2.5947;  79799.0737
2.6053;  80055.7231
2.6158;  80312.3725
2.6263;  80569.0219
2.6368;  80825.6713
2.6474;  81082.3207
2.6579;  81338.9701
2.6684;  81595.6195
2.6789;  81852.2689
2.6895;  82108.9183
2.7000;  82365.5677
2.7105;  82622.2171
2.7211;  82878.8665
2.7316;  83135.5159
2.7421;  83392.1653
2.7526;  83648.8147
2.7632;  83905.4641
2.7737;  84162.1135
2.7842;  84418.7629
2.7947;  84675.4123
2.8053;  84932.0617
2.8158;  85188.7111
2.8263;  85445.3605
2.8368;  85702.0099
2.8474;  85958.6593
2.8579;  86215.3087
2.8684;  86471.9581
2.8789;  86728.6075
2.8895;  86985.2569
2.9000;  87241.9063
2.9105;  87498.5557
2.9211;  87755.2051
2.9316;  88011.8545
2.9421;  88268.5039
2.9526;  88525.1533
2.9632;  88781.8027
2.9737;  89038.4521
2.9842;  89295.1015
2.9947;  89551.7509
3.0053;  89808.4003
3.0158;  90065.0497
3.0263;  90321.6991
3.0368;  90578.3485
3.0474;  90834.9979
3.0579;  91091.6473
3.0684;  91348.2967
3.0789;  91604.9461
3.0895;  91861.5955
3.1000;  92118.2449
3.1105;  92374.8943
3.1211;  92631.5437
3.1316;  92888.1931
3.1421;  93144.8425
3.1526;  93401.4919
3.1632;  93658.1413
3.1737;  93914.7907
3.1842;  94171.4401
3.1947;  94428.0895
3.2053;  94684.7389
3.2158;  94941.3883
3.2263;  95198.0377
3.2368;  95454.6871
3.2474;  95711.3365
3.2579;  95967.9859
3.2684;  96224.6353
3.2789;  96481.2847
3.2895;  96737.9341
3.3000;  96994.5835
3.3105;  97251.2329
3.3211;  97507.8823
3.3316;  97764.5317
3.3421;  98021.1811
3.3526;  98277.8305
3.3632;  98534.4799
3.3737;  98791.1293
3.3842;  99047.7787
3.3947;  99304.4281
3.4053;  99561.0775
3.4158;  99817.7270
3.4263;  100074.3764
3.4368;  100331.0258
3.4474;  100587.6752
3.4579;  100844.3246
3.4684;  101100.9740
3.4789;  101357.6234
3.4895;  101614.2728
3.5000;  101870.9222
3.5105;  102127.5716
3.5211;  102384.2210
3.5316;  102640.8704
3.5421;  102897.5198
3.5526;  103154.1692
3.5632;  103410.8186
3.5737;  103667.4680
3.5842;  103924.1174
3.5947;  104180.7668
3.6053;  104437.4162
3.6158;  104694.0656
3.6263;  104950.7150
3.6368;  105207.3644
3.6474;  105464.0138
3.6579;  105720.6632
3.6684;  105977.3126
3.6789;  106233.9620
3.6895;  106490.6114
3.7000;  106747.2608
3.7105;  107003.9102
3.7211;  107260.5596
3.7316;  107517.2090
3.7421;  107773.8584
3.7526;  108030.5078
3.7632;  108287.1572
3.7737;  108543.8066
3.7842;  108800.4560
3.7947;  109057.1054
3.8053;  109313.7548
3.8158;  109570.4042
3.8263;  109827.0536
3.8368;  110083.7030
3.8474;  110340.3524
3.8579;  110597.0018
3.8684;  110853.6512
3.8789;  111110.3006
3.8895;  111366.9500
3.9000;  111623.5994
3.9105;  111880.2488
3.9211;  112136.8982
3.9316;  112393.5476
3.9421;  112650.1970
3.9526;  112906.8464
3.9632;  113163.4958
3.9737;  113420.1452
3.9842;  113676.7946
3.9947;  113933.4440
4.0053;  114190.0934
4.0158;  114446.7428
4.0263;  114703.3922
4.0368;  114960.0416
4.0474;  115216.6910
4.0579;  115473.3404
4.0684;  115729.9898
4.0789;  115986.6392
4.0895;  116243.2886
4.1000;  116499.9380
4.1105;  116756.5874
4.1211;  117013.2368
4.1316;  117269.8862
4.1421;  117526.5356
4.1526;  117783.1850
4.1632;  118039.8344
4.1737;  118296.4838
4.1842;  118553.1332
4.1947;  118809.7826
